"COMMUNE_NOM","COLL_INSEE","ENFANT_SEXE","ENFANT_PRENOM","NOMBRE_OCCURRENCES","ANNEE"
"Digne-les-Bains","04070","M","Mayronn",1,2017
"Digne-les-Bains","04070","F","Méline",1,2017
"Digne-les-Bains","04070","F","Mélis",1,2017
"Digne-les-Bains","04070","F","Mélissa",1,2017
"Digne-les-Bains","04070","F","Mélissandre",1,2017
"Digne-les-Bains","04070","M","Melvyn",1,2017
"Digne-les-Bains","04070","F","Michelle",1,2017
"Digne-les-Bains","04070","F","Mila",2,2017
"Digne-les-Bains","04070","M","Milan",1,2017
"Digne-les-Bains","04070","F","Mirabelle",1,2017
"Digne-les-Bains","04070","F","Morgane",1,2017
"Digne-les-Bains","04070","M","Mouhamad-Ali",1,2017
"Digne-les-Bains","04070","F","Mya",2,2017
"Digne-les-Bains","04070","F","Nada",1,2017
"Digne-les-Bains","04070","M","Naël",2,2017
"Digne-les-Bains","04070","F","Naëlle",1,2017
"Digne-les-Bains","04070","M","Nahyl",1,2017
"Digne-les-Bains","04070","F","Naïlys",1,2017
"Digne-les-Bains","04070","F","Naomi",1,2017
"Digne-les-Bains","04070","M","Nathan",1,2017
"Digne-les-Bains","04070","F","Neïla",1,2017
"Digne-les-Bains","04070","M","Nils",1,2017
"Digne-les-Bains","04070","F","Nina",2,2017
"Digne-les-Bains","04070","M","Nino",2,2017
"Digne-les-Bains","04070","M","Noa",2,2017
"Digne-les-Bains","04070","M","Noah",3,2017
"Digne-les-Bains","04070","F","Noémie",1,2017
"Digne-les-Bains","04070","M","Nolan",1,2017
"Digne-les-Bains","04070","M","Noodless",1,2017
"Digne-les-Bains","04070","F","Nour",2,2017
"Digne-les-Bains","04070","M","Odin",1,2017
"Digne-les-Bains","04070","F","Olivia",1,2017
"Digne-les-Bains","04070","M","Owen",1,2017
"Digne-les-Bains","04070","F","Paloma",1,2017
"Digne-les-Bains","04070","F","Pauline",1,2017
"Digne-les-Bains","04070","F","Priscillia",1,2017
"Digne-les-Bains","04070","M","Qassim",1,2017
"Digne-les-Bains","04070","F","Rachel",1,2017
"Digne-les-Bains","04070","M","Rais",1,2017
"Digne-les-Bains","04070","M","Raphaël",1,2017
"Digne-les-Bains","04070","F","Rayan",1,2017
"Digne-les-Bains","04070","F","Rémi",1,2017
"Digne-les-Bains","04070","F","Ritej",1,2017
"Digne-les-Bains","04070","M","Robin",1,2017
"Digne-les-Bains","04070","M","Roger",1,2017
"Digne-les-Bains","04070","F","Romane",1,2017
"Digne-les-Bains","04070","F","Romie",1,2017
"Digne-les-Bains","04070","F","Rose",1,2017
"Digne-les-Bains","04070","F","Roxane",1,2017
"Digne-les-Bains","04070","M","Sacha",2,2017
"Digne-les-Bains","04070","M","Sasha",1,2017
"Digne-les-Bains","04070","F","Selen",1,2017
"Digne-les-Bains","04070","F","Shanna",1,2017
"Digne-les-Bains","04070","F","Shanys",1,2017
"Digne-les-Bains","04070","M","Shiv",1,2017
"Digne-les-Bains","04070","F","Sia",1,2017
"Digne-les-Bains","04070","F","Siana",2,2017
"Digne-les-Bains","04070","F","Sianna",1,2017
"Digne-les-Bains","04070","F","Siarah",1,2017
"Digne-les-Bains","04070","F","Sidney",1,2017
"Digne-les-Bains","04070","F","Sirine",1,2017
"Digne-les-Bains","04070","F","Sixtine",1,2017
"Digne-les-Bains","04070","F","Sofia",2,2017
